	gene_short_name
YCL059C	YCL059C
YCL064C	YCL064C
YCR002C	YCR002C
YCR003W	YCR003W
YCR004C	YCR004C
YCR005C	YCR005C
YCR008W	YCR008W
YCR009C	YCR009C
YCR011C	YCR011C
YCR012W	YCR012W
YCR013C	YCR013C
YCR016W	YCR016W
YCR017C	YCR017C
YCR018C	YCR018C
YCR020W-B	YCR020W-B
YCR024C-A	YCR024C-A
YCR024C-B	YCR024C-B
YCR028C-A	YCR028C-A
YCR030C	YCR030C
YCR031C	YCR031C
YCR032W	YCR032W
YCR033W	YCR033W
YCR034W	YCR034W
YCR035C	YCR035C
YCR036W	YCR036W
YCR039C	YCR039C
YCR042C	YCR042C
YCR043C	YCR043C
YCR044C	YCR044C
YCR046C	YCR046C
YCR048W	YCR048W
YCR051W	YCR051W
YCR052W	YCR052W
YCR053W	YCR053W
YCR059C	YCR059C
YCR060W	YCR060W
YCR061W	YCR061W
YCR065W	YCR065W
YCR067C	YCR067C
YCR069W	YCR069W
YCR071C	YCR071C
YCR073W-A	YCR073W-A
YCR075W-A	YCR075W-A
YCR076C	YCR076C
YCR077C	YCR077C
YCR079W	YCR079W
YCR082W	YCR082W
YCR083W	YCR083W
YCR084C	YCR084C
YCR088W	YCR088W
YCR090C	YCR090C
YCR092C	YCR092C
YCR093W	YCR093W
YCR094W	YCR094W
YCR095C	YCR095C
YCR097W	YCR097W
YDL002C	YDL002C
YDL004W	YDL004W
YDL005C	YDL005C
YDL006W	YDL006W
YDL007W	YDL007W
YDL012C	YDL012C
YDL013W	YDL013W
YDL014W	YDL014W
YDL015C	YDL015C
YDL016C	YDL016C
YDL018C	YDL018C
YDL019C	YDL019C
YDL020C	YDL020C
YDL022W	YDL022W
YDL023C	YDL023C
YDL025C	YDL025C
YDL027C	YDL027C
YDL029W	YDL029W
YDL031W	YDL031W
YDL035C	YDL035C
YDL040C	YDL040C
YDL045C	YDL045C
YDL045W-A	YDL045W-A
YDL046W	YDL046W
YDL047W	YDL047W
YDL051W	YDL051W
YDL052C	YDL052C
YDL053C	YDL053C
YDL055C	YDL055C
YDL056W	YDL056W
YDL058W	YDL058W
YDL060W	YDL060W
YDL061C	YDL061C
YDL064W	YDL064W
YDL065C	YDL065C
