,Condition,Size_Factor,num_genes_expressed,Total_mRNAs,Cluster,peaks,halo,delta,rho,nearest_higher_density_neighbor,Pseudotime,State
BY4741_Unstressed_1784042189_BY70___Unstressed,Unstressed,0.9685189882748,1759,460064.78,1,FALSE,FALSE,0.738937806752888,1.86633745180231,NA,5.08366888732436,1
BY4741_Unstressed_1784042189_BY20___Unstressed,Unstressed,0.962949061035757,2311,457435.76,1,FALSE,FALSE,0.776248950172641,1.50509860216424,NA,5.24870335720051,1
BY4741_Unstressed_1784042189_BY52___Unstressed,Unstressed,1.00434250367693,1222,477138.99,1,FALSE,FALSE,1.1093897396703,2.43471478057037,NA,5.72883468505194,1
BY4741_Unstressed_1784042189_BY60___Unstressed,Unstressed,0.730603524778499,1570,347081.25,1,FALSE,FALSE,0.412879088394451,3.82469045026401,NA,6.00891996275495,1
BY4741_Unstressed_1784042189_BY9___Unstressed,Unstressed,0.967205445343144,1695,459479.36,1,FALSE,FALSE,0.702112537976219,3.44324201281103,NA,6.00894844427586,1
BY4741_Unstressed_1784042189_BY26___Unstressed,Unstressed,0.978069540007053,1556,464629.5,1,FALSE,FALSE,0.275620955433259,3.0575480805521,NA,6.33407680210505,1
BY4741_Unstressed_1784042189_BY94___Unstressed,Unstressed,0.986329704211894,1654,468590.33,1,FALSE,FALSE,0.637684613185109,3.37305732465775,NA,7.2627875666375,1
BY4741_Unstressed_1784042189_BY59___Unstressed,Unstressed,0.990463996387813,2166,470527.22,1,FALSE,FALSE,0.751762294331188,2.05630856010445,NA,7.43329156120508,1
BY4741_Unstressed_1784042189_BY84___Unstressed,Unstressed,0.999189373714282,1943,474676.86,1,FALSE,FALSE,0.910115076174787,3.62136517396157,NA,7.91520290439487,1
BY4741_Unstressed_1784042189_BY16___Unstressed,Unstressed,0.992756381407964,1964,471604.19,1,FALSE,FALSE,0.965243927836652,2.73099367089766,NA,7.92054535160129,1
BY4741_Unstressed_1784042189_BY93___Unstressed,Unstressed,0.985409803152385,1862,468129.79,1,FALSE,FALSE,0.673921448039782,2.94623321602093,NA,7.97858996210794,1
BY4741_Unstressed_1784042189_BY71___Unstressed,Unstressed,0.994627759078225,1815,472481.1,1,FALSE,FALSE,0.962348425933192,1.9990727115119,NA,7.99559387693908,1
BY4741_Unstressed_1784042189_BY7___Unstressed,Unstressed,0.974737266832675,1251,463065.87,1,FALSE,FALSE,0.476392401927443,2.20599200207325,NA,8.67235974477101,1
BY4741_Unstressed_1784042189_BY23___Unstressed,Unstressed,0.819353979172047,1325,389225.82,1,FALSE,FALSE,0.595027966033522,1.94860301650615,NA,8.71034067971149,1
BY4741_Unstressed_1784042189_BY57___Unstressed,Unstressed,0.905944665860659,773,430355.06,1,FALSE,FALSE,1.36934783575433,0.384801418084966,NA,9.00956991513218,1
BY4741_Unstressed_1784042189_BY67___Unstressed,Unstressed,1.0103902742581,1931,480021.78,1,FALSE,FALSE,0.223565125376848,2.54686028471443,NA,9.11913690409323,1
BY4741_Unstressed_1784042189_BY33___Unstressed,Unstressed,1.00203959347304,1599,476044.65,1,FALSE,FALSE,0.957402251033001,2.1062304870219,NA,10.1829191332155,1
BY4741_Stressed_1784042160_C50_BY87___Stressed,Stressed,1.0497965622078,1140,498716.48,2,FALSE,FALSE,0.326372731401874,1.18060720226494,NA,17.2167538851624,1
BY4741_Stressed_1784042160_C50_BY3___Stressed,Stressed,1.0892196904515,1168,517416.97,2,FALSE,FALSE,1.16386185920473,1.42959484806284,NA,21.9701306185928,1
BY4741_Stressed_1784042160_C50_BY2___Stressed,Stressed,1.15554518835316,1811,548964.6,2,FALSE,FALSE,3.7184666200824,3.59041480303914,NA,23.3988589237644,1
BY4741_Stressed_1784042160_C50_BY77___Stressed,Stressed,1.06178474649592,1788,504390.44,2,FALSE,FALSE,0.532472998322251,2.3743989882599,NA,23.7486880190762,3
BY4741_Stressed_1784042160_C50_BY10___Stressed,Stressed,0.966704446596775,2061,459219.75,2,FALSE,FALSE,0.604061521377141,2.46295723068654,NA,24.4722975160694,3
BY4741_Stressed_1784042160_C50_BY18___Stressed,Stressed,1.07569482933628,2352,510990.14,2,FALSE,FALSE,0.855427778172939,2.17878745740478,NA,25.5324226820666,2
BY4741_Stressed_1784042160_C50_BY88___Stressed,Stressed,1.05628218043286,1849,501782.3,2,FALSE,FALSE,0.459502484507472,3.1841998758458,NA,25.8506018801509,3
BY4741_Stressed_1784042160_C50_BY80___Stressed,Stressed,1.10904071648431,1688,526844.83,2,FALSE,FALSE,0.607606344788811,3.0580141043617,NA,25.8670038005062,3
BY4741_Stressed_1784042160_C50_BY79___Stressed,Stressed,0.928902196650157,2258,441257.46,2,FALSE,FALSE,0.715739844513783,2.56135053197457,NA,26.0853351398702,2
BY4741_Stressed_1784042160_C50_BY55___Stressed,Stressed,1.04830619618919,1562,498015.93,2,FALSE,FALSE,0.834550116284483,2.73390356436722,NA,26.1692199043068,3
BY4741_Stressed_1784042160_C50_BY1___Stressed,Stressed,1.06804302075203,2248,507385.12,2,FALSE,FALSE,0.568204456326149,3.432627305326,NA,26.6779244581992,3
BY4741_Stressed_1784042160_C50_BY5___Stressed,Stressed,1.0473063037332,2417,497512.11,2,FALSE,FALSE,0.588312779674284,4.28160275569044,NA,26.897718736028,2
BY4741_Stressed_1784042160_C50_BY19___Stressed,Stressed,0.969495725326545,2183,460537.92,2,FALSE,FALSE,0.624596010820232,3.82175720147672,NA,26.9146471635989,2
BY4741_Stressed_1784042160_C50_BY54___Stressed,Stressed,0.9675654066273,2224,459631.54,2,FALSE,FALSE,0.385668000094025,4.47865848151722,NA,26.9178090723345,2
BY4741_Stressed_1784042160_C50_BY78___Stressed,Stressed,0.937294978170213,2319,445252.27,2,FALSE,FALSE,0.37849085342821,3.80720727344848,NA,26.9550123344985,2
BY4741_Stressed_1784042160_C50_BY30___Stressed,Stressed,1.07793248340095,2425,512032.51,2,FALSE,FALSE,0.729557155119647,4.76801390000462,NA,26.9742339223566,2
BY4741_Stressed_1784042160_C50_BY52___Stressed,Stressed,1.05923133691884,2256,503175.15,2,FALSE,FALSE,0.603917074858233,3.39241775388428,NA,26.9786099909142,2
BY4741_Stressed_1784042160_C50_BY13___Stressed,Stressed,1.02713584159998,2260,487929.73,2,FALSE,FALSE,0.705147116257986,4.45088725709766,NA,26.9859034528145,2
BY4741_Stressed_1784042160_C50_BY34___Stressed,Stressed,0.932722838350408,2297,443078.51,2,FALSE,FALSE,0.242678825576758,4.07018091985601,NA,26.9914692420543,2
BY4741_Stressed_1784042160_C50_BY89___Stressed,Stressed,0.976172901895799,2428,463729.48,2,FALSE,FALSE,0.484897802098062,3.26877049224265,NA,26.9987019491241,2
BY4741_Stressed_1784042160_C50_BY8___Stressed,Stressed,0.948887415549433,2290,450740.63,2,FALSE,FALSE,0.435280172459027,4.52115151893757,NA,27.0045344550367,2
BY4741_Stressed_1784042160_C50_BY86___Stressed,Stressed,1.06009861205961,2400,503605.01,2,FALSE,FALSE,0.950299207829408,3.54374988121912,NA,27.0050865174719,2
BY4741_Stressed_1784042160_C50_BY14___Stressed,Stressed,1.0543981725421,2398,500876.22,2,TRUE,FALSE,22.9390755248872,5.11164512778199,NA,27.0155314424961,2
BY4741_Stressed_1784042160_C50_BY71___Stressed,Stressed,0.9564718629577,2369,454356.41,2,FALSE,FALSE,0.792747821438919,4.8177131032551,NA,27.015678497767,2
BY4741_Stressed_1784042160_C50_BY53___Stressed,Stressed,1.06958390765263,2240,508120.6,2,FALSE,FALSE,0.176810473723039,4.8854705995129,NA,27.0414944021189,2
BY4741_Stressed_1784042160_C50_BY64___Stressed,Stressed,1.05445079846084,2399,500892.23,2,FALSE,FALSE,3.00643614635131,4.95883444515827,NA,27.053145362074,2
BY4741_Stressed_1784042160_C50_BY70___Stressed,Stressed,1.00671277505682,2400,478196.75,2,FALSE,FALSE,0.435409372309877,4.05953141779787,NA,27.063925794488,2
BY4741_Stressed_1784042160_C50_BY50___Stressed,Stressed,1.07945231993405,2315,512829.64,2,FALSE,FALSE,0.482389027940743,4.53886535012087,NA,27.0921595228548,2
BY4741_Stressed_1784042160_C50_BY72___Stressed,Stressed,1.06042068268227,2310,503737.84,2,FALSE,FALSE,3.00851874047096,5.01746434685597,NA,27.1099217200545,2
BY4741_Stressed_1784042160_C50_BY57___Stressed,Stressed,0.998846252724122,2317,474507.24,2,FALSE,FALSE,0.358099105275095,4.74657559982686,NA,27.1212571572419,2
BY4741_Stressed_1784042160_C50_BY22___Stressed,Stressed,0.938471693713156,2529,445798.01,2,FALSE,FALSE,0.982123792331847,4.97477089661186,NA,27.1748985023892,2
BY4741_Stressed_1784042160_C50_BY25___Stressed,Stressed,1.05408452206643,2334,500692.16,2,FALSE,FALSE,0.166143906380263,4.62220553579481,NA,27.1972232403725,2
BY4741_Stressed_1784042160_C50_BY49___Stressed,Stressed,1.05164267943707,2767,499590.1,2,FALSE,FALSE,0.534923598622871,2.48074900435433,NA,27.2798142525901,2
BY4741_Stressed_1784042160_C50_BY51___Stressed,Stressed,1.08042905698579,2642,513248.22,2,FALSE,FALSE,1.26470095652438,2.75148225053091,NA,27.280485646669,2
